idx,country,capital,image
0,United Arab Emirates,Abu Dhabi,http://www.topdesignmag.com/wp-content/uploads/2011/01/150.jpg
1,Nigeria,Abuja,http://www.topdesignmag.com/wp-content/uploads/2011/01/246.jpg
2,Ghana,Accra,http://www.topdesignmag.com/wp-content/uploads/2011/01/326-1024x817.jpg
3,Pitcairn Islands,Adamstown,http://www.topdesignmag.com/wp-content/uploads/2011/01/417.jpg
4,Ethiopia,Addis Ababa,http://www.topdesignmag.com/wp-content/uploads/2011/01/514.jpg
5,Algeria,Algiers,http://www.topdesignmag.com/wp-content/uploads/2011/01/612.jpg
6,Niue,Alofi,http://www.topdesignmag.com/wp-content/uploads/2011/01/712.jpg
7,Jordan,Amman,http://www.topdesignmag.com/wp-content/uploads/2011/01/811.jpg
8,Netherlands,Amsterdam,http://www.topdesignmag.com/wp-content/uploads/2011/01/913.jpg
9,Andorra,Andorra la Vella,http://www.topdesignmag.com/wp-content/uploads/2011/01/1010.jpg
10,Turkey,Ankara,http://www.topdesignmag.com/wp-content/uploads/2011/01/1115.jpg
11,Madagascar,Antananarivo,http://www.topdesignmag.com/wp-content/uploads/2011/01/1214.jpg
12,Samoa,Apia,http://www.topdesignmag.com/wp-content/uploads/2011/01/1311.jpg
13,Turkmenistan,Ashgabat,http://www.topdesignmag.com/wp-content/uploads/2011/01/1412.jpg
14,Eritrea,Asmara,http://www.topdesignmag.com/wp-content/uploads/2011/01/15.jpeg
15,Kazakhstan,Astana,http://www.topdesignmag.com/wp-content/uploads/2011/01/1613.jpg
16,Paraguay,Asunción,http://www.topdesignmag.com/wp-content/uploads/2011/01/1712.jpg
17,Greece,Athens,http://www.topdesignmag.com/wp-content/uploads/2011/01/1812.jpg
18,Cook Islands,Avarua,http://www.topdesignmag.com/wp-content/uploads/2011/01/1910.jpg
19,Iraq,Baghdad,http://www.topdesignmag.com/wp-content/uploads/2011/01/2010.jpg
20,Azerbaijan,Baku,http://www.topdesignmag.com/wp-content/uploads/2011/01/2115.jpg
21,Mali,Bamako,http://www.topdesignmag.com/wp-content/uploads/2011/01/2214.jpg
22,Brunei,Bandar Seri Begawan,http://www.topdesignmag.com/wp-content/uploads/2011/01/2311.jpg
23,Thailand,Bangkok,http://www.topdesignmag.com/wp-content/uploads/2011/01/247.jpg
24,Central African Republic,Bangui,http://www.topdesignmag.com/wp-content/uploads/2011/01/258.jpg
25,Gambia,Banjul,http://www.topdesignmag.com/wp-content/uploads/2011/01/268.jpg
26,Saint Kitts and Nevis,Basseterre,http://www.topdesignmag.com/wp-content/uploads/2011/01/277.jpg
27,China,Beijing,http://www.topdesignmag.com/wp-content/uploads/2011/01/287.jpg
28,Lebanon,Beirut,http://www.topdesignmag.com/wp-content/uploads/2011/01/297.jpg
29,Northern Ireland,Belfast,http://www.topdesignmag.com/wp-content/uploads/2011/01/306.jpg
30,Serbia,Belgrade,http://www.topdesignmag.com/wp-content/uploads/2011/01/3111.jpg
31,Belize,Belmopan,http://www.topdesignmag.com/wp-content/uploads/2011/01/327.jpg
32,Germany,Berlin,http://www.topdesignmag.com/wp-content/uploads/2011/01/335.jpg
33,Switzerland,Bern,http://www.topdesignmag.com/wp-content/uploads/2011/01/344.jpg
34,Kyrgyzstan,Bishkek,http://www.topdesignmag.com/wp-content/uploads/2011/01/352.jpg
35,Guinea-Bissau,Bissau,http://www.topdesignmag.com/wp-content/uploads/2011/01/362.jpg
36,Colombia,Bogotá,http://www.topdesignmag.com/wp-content/uploads/2011/01/372.jpg
37,Brazil,Brasília,http://www.topdesignmag.com/wp-content/uploads/2011/01/382.jpg
38,Slovakia,Bratislava,http://www.topdesignmag.com/wp-content/uploads/2011/01/391.jpg
39,Republic of the Congo,Brazzaville,http://www.topdesignmag.com/wp-content/uploads/2011/01/401.jpg
40,Barbados,Bridgetown,http://www.topdesignmag.com/wp-content/uploads/2011/01/418.jpg
41,Belgium,Brussels,http://www.topdesignmag.com/wp-content/uploads/2011/01/422.jpg
42,Romania,Bucharest,http://www.topdesignmag.com/wp-content/uploads/2011/01/432.jpg
43,Hungary,Budapest,http://www.topdesignmag.com/wp-content/uploads/2011/01/443.jpg
44,Argentina,Buenos Aires,http://www.topdesignmag.com/wp-content/uploads/2011/01/452.jpg
45,Burundi,Bujumbura,http://www.topdesignmag.com/wp-content/uploads/2011/01/462.jpg
46,Egypt,Cairo,http://www.topdesignmag.com/wp-content/uploads/2011/01/472.jpg
47,Australia,Canberra,http://www.topdesignmag.com/wp-content/uploads/2011/01/481.jpg
48,Venezuela,Caracas,http://www.topdesignmag.com/wp-content/uploads/2011/01/491.jpg
49,Wales,Cardiff,http://www.topdesignmag.com/wp-content/uploads/2011/01/501.jpg
50,Saint Lucia,Castries,http://www.topdesignmag.com/wp-content/uploads/2011/01/515.jpg
51,United States Virgin Islands,Charlotte Amalie,http://www.topdesignmag.com/wp-content/uploads/2011/01/522.jpg
52,Moldova,Chisinau,http://www.topdesignmag.com/wp-content/uploads/2011/01/532.jpg
53,Turks and Caicos Islands,Cockburn Town,http://www.topdesignmag.com/wp-content/uploads/2011/01/542.jpg
54,Guinea,Conakry,http://www.topdesignmag.com/wp-content/uploads/2011/01/552.jpg
55,Denmark,Copenhagen,http://www.topdesignmag.com/wp-content/uploads/2011/01/561.jpg
56,Senegal,Dakar,http://www.topdesignmag.com/wp-content/uploads/2011/01/571.jpg
57,Syria,Damascus,http://www.topdesignmag.com/wp-content/uploads/2011/01/581.jpg
58,Bangladesh,Dhaka,http://www.topdesignmag.com/wp-content/uploads/2011/01/591.jpg
59,East Timor (Timor-Leste),Dili,http://www.topdesignmag.com/wp-content/uploads/2011/01/60.jpg
60,Djibouti,Djibouti,http://www.topdesignmag.com/wp-content/uploads/2011/01/613.jpg
61,Tanzania,Dodoma,http://www.topdesignmag.com/wp-content/uploads/2011/01/621.jpg
62,Qatar,Doha,http://www.topdesignmag.com/wp-content/uploads/2011/01/631.jpg
63,Isle of Man,Douglas,http://www.topdesignmag.com/wp-content/uploads/2011/01/641.jpg
64,Ireland,Dublin,http://www.topdesignmag.com/wp-content/uploads/2011/01/651.jpg
65,Tajikistan,Dushanbe,http://www.topdesignmag.com/wp-content/uploads/2011/01/661.jpg
66,Scotland,Edinburgh,http://www.topdesignmag.com/wp-content/uploads/2011/01/671.jpg
67,Akrotiri and Dhekelia,Episkopi Cantonment,http://www.topdesignmag.com/wp-content/uploads/2011/01/681.jpg
68,Christmas Island,Flying Fish Cove,http://www.topdesignmag.com/wp-content/uploads/2011/01/691.jpg
69,Sierra Leone,Freetown,http://www.topdesignmag.com/wp-content/uploads/2011/01/70.jpg
